ملخص البحث	Search summary
الشخص الذي قد دفع رسوم التسجيل	The person who has paid the registration fee
الشخص الذي قد دفع رسوم التسجيل المتأخر	The person who has paid the fee for late registration
دعوة لتقديم أوراق	Call for papers
العرض الرئيسي	Master view
مساهمة رفض	Contribution to reject
كاتب العادية	Regular writer
لنوع	For the type of
للاسم الأول	For first name
هو تاريخ انتهاء	Is the end date
لدرجة	To the extent
هو تاريخ لتقديم خلاصة	Is the date for the submission of abstract
تاريخ النشر	Date posted
لعنوان url	Url address
هو تاريخ البدء	Is the start date
لاسم	The name
لخبرة	To experience
أجل isbn	For isbn
هو تاريخ تقديم النسخة الكاملة	Is the date of submission of full version
لوحدة التخزين	For volume
هو تاريخ الإشعار بالقبول	Is the date of notice of acceptance
للبريد الإلكتروني	For email
هو تاريخ تقديم النسخة النهائية	Is the date of submission of the final version
للدورة	For the course
للناشر	For Publisher
تنتمي إلى وحدة تخزين للمؤتمر	Belong to a volume of the Conference
يقيم	Assesses
وكان رئيسا لحلقة العمل	He was Chairman of the workshop
وقد "رئيس اللجنة"	The "Chairman"
قدم العرض التقديمي	Gave a presentation
تشكيل لجنة توجيهية	A Steering Committee
مراجع	References to
سمة أو لتقديم	Attribute or to provide
جزء من وحدة التخزين للمؤتمر	Part of the volume of the Conference
رئيس المشارك للجنة	Co-President of the Commission
تفضيل أو الخبرة	Preference or experience.
وكانت لجنة تنظيمية من	Regulatory Commission
لديه خبرة المراجع	Has experience references
وكان "رئيس لجنة" مؤلفة من	"Commission" composed of
أجل تقديم	In order to provide
وقد كان عضوا في	And he was a member of the
للمساهمات	For contributions
وكانت لجنة توجيهية من	A Steering Committee of
لتعليمي	For the tutorial
للأعضاء	For members
ينتمي إلى المراجع	Belongs to the references
لملخص	For a summary
وقد منحت إلى تفضيل لتصحيح التجارب المطبعية	Awarded to a preference for proofreading
للتواريخ الهامة	For important dates
لحلقة العمل	For the workshop
وقد موضوعا لحلقة العمل	Having a theme for the workshop
بدعوة من	At the invitation of
وكانت لجنة من	The Committee of
لجزء	To part
تدعو المراجع المشارك	Invite participant references
هو رهنا	Is the subject
ينتمي إلى تفضيل من المراجع	Belongs to the preference of the references
للجنة	Of the Commission
وقد تم وضع برنامج اللجنة من	The Committee has been developing a programme of
لقد كان رئيس المشارك للجنة	He was Chairman of the Committee-
للجنة التنظيمية	Organizational Committee
يتم توفيرها من قبل	Is provided by
لرئيس حلقة العمل	Chairman of the workshop
مقدم الطلب المسجل	Registered applicant
يدفع مقدم الطلب	Applicant pays
استعراض الخبرة	Review of experience
استعراض الأفضلية	Priority review
دورة مكثفة	Intensive course
رسوم قابلة للطباعة	Printable fee
مشارك في المؤتمر	Participants at the Conference.
استدعاء إينزينزينجين	Call ainzinzingin
محاضرة عن دعوة	Lecture on the invitation
مشارك مؤتمر السلبي	Negative conference participant
الكاتب الأول	First writer
رسوم المقبولة	Admissible fees
المسار-ورشة عمل الرئيس	Course-workshop chair
المسار	Path
حزمة المؤتمر	Conference package
رسوم العضوية المرفوضة	Membership fee rejected
استعراض مساهمة	Review of the contribution
رسوم العضوية العادية	Regular membership fee
مقدم الطلب تأخر دفع	Applicant delayed payment
مساهمة المؤلف المشارك	Co-author's contribution
طالب المؤتمر	Student Conference
مقدم الطلب المبكر المدفوعة	Early applicant paid
يحتوي على url	Contains the url
تاريخ تقديم خلاصة	Date of submission of abstract
تاريخ تقديم نسخة جاهزة للطباعة	Print-ready version history
برسالة بريد إلكتروني	In an e-mail message
حاصل على درجة	Holds a degree
تاريخ تقديم المقالة بالكامل	Date of submission of full article
يحتوي على اسم	Contains the name of the
تاريخ الإصدار	Release date
يحتوي على جزء	Contains a part
تاريخ النشر للقبول	Publication date for admission
وقد سنيلكورسوسين	Snilkorsosin has
وترد عليه	And answer it.
وكان فريق توجيهي من	The Steering Group was
وقد رئيس المشارك اللجنة	The Commission has co-President
وكان مسار-رئيسا لحلقة العمل	Path was Chairman of the workshop
ينتمي إلى مجموعة المؤتمر	Belongs to a Group Conference
وقد نبذة مختصرة	Having a brief
كانت اللجنة منظمة من	The Organization Committee
وتدعو كوريسينسينتين من	Korisinsintin calls from
وكان برنامج اللجنة من	The Programme Committee
ينتمي إلى مرجع استعراض	Belongs to reference review
يعطي العروض التقديمية	Give presentations
وقد منظمة اللجنة	The Committee has organized
موضوع نصيب المؤتمر	Share topic Conference
خبرة الاستعراض	Browsing experience
تواريخ هامة	Significant dates
ينتمي إلى ريسينسينتين	Belongs to risinsintin
جزء من حزمة المؤتمر	Part of the Conference package
رئيس اللجنة	Chairman of the Committee
مقدم	Submitted by
تم إنشاء لجنة من	A Committee was created in
يتم تعيين إشارة استعراض	Flag is set review
موضوع أو مساهمة في المقدمة	Subject or contribution provided
وقد دورة مكثفة-المسار--ورشة عمل في الرئيس	Having an intensive course-course-workshop on the President
وقد ناشر	Having a Publisher
المساهمة	Contributing to
وكان الرئيس المشارك للجنة	He was co-Chairman of the Committee
مجموعة التوجيه	Routing group
النفقات	Expenses
وقد رسم عضوية معلقة	Pending membership fee has
وقد استعراض	Having reviewed the
خبرة مرجع استعراض	Experience reference review
وقد موضوع المسار-ورشة عمل--تحطم دورة	The track was the theme-workshop-crash course
وقد موضوع مساهمة في المقدمة	Having the subject contribution provided
يحتوي على مرجع استعراض أو الخبرة	Contains a reference to review or experience
رسوم التسجيل في المؤتمر	Congress registration
محاضرة ضيف	Guest lecture
محاضر زائر	Guest lecturer
أعمال تحت التنفيذ	WIP
تتبع حلقة العمل المنسق	Follow the Coordinator's workshop
مشارك تدفع متأخرة	Participants pay late.
موقع ويب المؤتمر	Conference Web site
مساهمة المقالة بالكامل	Contribution to full article
مشارك مسجل	A registered participant
المنسق المشارك	Co-coordinator
مشارك المدفوعة	Participants paid
استعراض التخصصي	The specialist review
المنسق العام	General Coordinator
وثيقة من وثائق المؤتمر	Conference document
النسخة النهائية من مساهمة	The final version of the contribution
المساهمات المقدمة	Contributions
نهاية المدفوعة مسبقاً	The end of the prepaid
صاحب شركة مساهمة	His stock company
يوم اختتام	Closing day
تاريخ التسليم للصيغة النهائية للمادة	The delivery date for the final version of the article
تاريخ البدء	Start date
دبلوم المراجعة	Diploma review
isbn حوليات	Isbn annals
المتخصصة المراجع	Specialized bibliography
رقم وحدة التخزين حوليات	Annals volume number
تاريخ الإعلان عن القبول	Date of admission
تاريخ تقديم موجز	Provide a brief history
المراجع المتخصصة	Specialized reference
وقد "المنسق العام"	The "General Coordinator"
كان منسق	The Coordinator
ميزات الكتاب	The book features
عقدت حلقة عمل منسق المسار	Track coordinator workshop
وكان "المنسق العام"	He was "Chief Coordinator"
شركة تدعو المراجعين	Company invites reviewers
وقد موضوع مسار لحلقة العمل، والبرنامج التعليمي	The theme has a path to the workshop and tutorial
هذا موضوع لأجزاء من المؤتمر	This subject to parts of the Conference
كانت "لجنة برنامج المؤتمر"	"The Conference Programme Committee"
ينتمي إلى تفضيلها للاستعراض	Belongs to a preference for review
ينتمي إلى وحدة تخزين المؤتمر	Belongs to the Conference volume
دروس الميزات	Feature tutorials
وقد موجز	And summary
كانت "لجنة تنظيم المؤتمر"	"Commission"
وقد منسق مسار لحلقة العمل، والبرنامج التعليمي	A path has been coordinator of the workshop and tutorial
وقد شارك منسق	Rich has participated
وقد استعراض التفضيل أو التخصص	Preference has been reviewed or specialization
كان "مؤتمر اللجنة التوجيهية"	"The Conference Steering Committee"
ويتميز المسارات	It features tracks
ينتمي إلى المراجعين	Belongs to reviewers
وقد قدمت مساهمة	And have made a contribution
موضوع أو الموضوع	Subject or topic
تم تعيين تفضيل للاستعراض	Preference is set for review
كانت "لجنة المؤتمر"	"Conference Committee."
وقد استعراض التخصصي	The specialist has reviewed
عروض وزير	The Minister offers
جزء من مجلدات المؤتمر	Part of the Conference folders
شارك في تأليف العمل	Co-authored work.
المجلس العلمي	The Scientific Council
رئيس قسم، حلقة دراسية	Section Chief, seminar
مؤتمر الأطراف	The Conference of the parties
بوث	Booth
1 صاحب العمل	1 employer
قسم	Department of
العمل بالنسخة النهائية	Work with final version
عنوان إنترنت للمؤتمر	The Internet address of the Conference
واعتمدت في العمل	And adopted at work
مؤتمر العمل	Labour Conference
رسالة المعلومات	Information message
حزب مسجل	Registered party
تأخر شراء الطرف	Delayed buying party
متطلبات للاستعراض	Review requirements
تقرير ضيف	Report of a guest
شراء الطرف	Buy party
المؤتمر الصحفي	The press conference
عمل بودانيج	Work bodanig
الشخص وسم المساهمات المقدمة إلى المؤتمر	Person marking the contributions to the Conference
أوائل شراء الطرف	Early buying party
ملاحظات الخبرة	Reviews of experience
إنجاز العمل	Complete work
عمل أوتريسينزيروفانج	Work uttrisinzirovang
الأعمال الكتابية	Clerical work
دورة تدريبية	A training course
رفض العمل	Refuse to work
isbn	isbn
تاريخ الإعلان على اتخاذ	Date to take
تاريخ لعرض المقالة بالكامل	Date to view full article
الاختصاص	Jurisdiction
تاريخ الإيداع للصيغة النهائية للمادة	The filing date for the final version of the article
اللقب	Title
تاريخ تقديم شروح	History of providing explanations
عنوان إنترنت	Internet address
الملعب	Playground
درجة	The degree of
تاريخ الانتهاء	Finish date
paul	paul
نائب رئيس اللجنة	Vice Chairman of the Committee
هو الموضوع المؤتمرات أجزاء	Conference theme parts
الأعضاء	Members
الدورات التدريبية	Training courses
وكان تنظيم اللجنة	The Committee was organized
الحلقات الدراسية	Seminars
عمل عرض تقديمي	Making a presentation
جاء في بيان المؤتمر	Conference statement
جزء من القضية (s) للمؤتمر	Part of the issue (s) of the Conference
ودعت منظمة الصحة العالمية	The World Health Organization called
الرئيس المشارك للجنة	Co-Chairman of the Committee
تحديد الاحتياجات المتعلقة بملاحظات	Determine requirements for reviews
وكان رئيسا للقسم، الحلقة الدراسية	He was head of the Department, the seminar
قسم الموضوع، حلقة دراسية، دورة تدريبية	Topic section, seminar, training session
موضوع أو عمل قدم	Subject or the work presented
جزء	Part
وينتقد	And criticize
في المقدمة	In the foreground
استعراض rekommendaciâ أو اختصاص	Review of rekommendaciâ or competence
رئيس قسم، حلقة دراسية، obučaûŝegokursa	Section Chief, seminar, obučaûŝegokursa
قام	The
ترودي	Trudy
وتدعو إلى المراجعين	And calls for reviewers
وكان عضوا	He was a member of
المؤلف	Author
مملوكة للمراجعين	Owned by reviewers
استعراض rekommendaciâ	Rekommendaciâ review
وكان "المجلس العلمي"	The "Scientific Council"
يسهم في	Contributes to
أنه بمثابة برنامج اللجنة	He served as program Committee
